title,author,length
The Eye of the Bedlam Bride,Matt Dinniman,Length: 26 hrs and 46 mins
God of Ruin,Rina Kent,Length: 14 hrs and 4 mins
House of Flame and Shadow,Sarah J. Maas,Length: Not Yet Known
Holly,Stephen King,Length: 15 hrs and 24 mins
The 32 Principles,Rener Gracie,Length: 8 hrs and 18 mins
Jackson,Neven Iliev,Length: 18 hrs and 1 min
Things We Left Behind,Lucy Score,Length: 19 hrs and 14 mins
The Woman in Me,Britney Spears,Length: 7 hrs
Reframe Your Brain,Scott Adams,Length: 7 hrs and 33 mins
Preceptor,Terry Mancour,Length: 22 hrs and 13 mins
I Could Never,Penelope Ward,Length: 8 hrs and 2 mins
The Josiah Manifesto,Jonathan Cahn,Length: 8 hrs and 47 mins
Elon Musk,Walter Isaacson,Length: 20 hrs and 27 mins
$100M Leads,Alex Hormozi,Length: 6 hrs
Iron Flame,Rebecca Yarros,Length: 14 hrs and 15 mins
Payback in Death,J. D. Robb,Length: 13 hrs and 54 mins
The Untitled Books,C.J. Archer,Length: 7 hrs and 59 mins
Shattered Truths,H. Hunting,Length: 10 hrs and 52 mins
Distance,Luna Mason,Length: 10 hrs and 32 mins
Prequel,Rachel Maddow,Length: 15 hrs
